Country,Country Speed,Mirror Name,Protocols,Hostnames,Mirror Speed,Status
Romania,67 Gbps,Chroot,"https://mirrors.chroot.ro/ubuntu/, http://mirrors.chroot.ro/ubuntu/, ftp://mirrors.chroot.ro/ubuntu/",mirrors.chroot.ro,1 Gbps,Up to date
Romania,67 Gbps,DataPark.ro,"https://mirrors.datapark.ro/ubuntu/, http://mirrors.datapark.ro/ubuntu/",mirrors.datapark.ro,1 Gbps,Up to date
Romania,67 Gbps,Hostico,"https://mirrors.hostico.ro/ubuntu/archive/, http://mirrors.hostico.ro/ubuntu/archive/",mirrors.hostico.ro,1 Gbps,Up to date
Romania,67 Gbps,Pidgin Host,"http://mirrors.pidginhost.com/ubuntu/, ftp://mirrors.pidginhost.com/ubuntu/, rsync://mirrors.pidginhost.com/ubuntu/",mirrors.pidginhost.com,1 Gbps,Up to date
Romania,67 Gbps,RCS & RDS,"http://ubuntu.mirrors.linux.ro/archive/, ftp://ftp.linux.ro/ubuntu/archive/, rsync://ubuntu.mirror.linux.ro/ubuntu-archive/","ubuntu.mirror.linux.ro, ubuntu.mirrors.linux.ro, ftp.linux.ro",1 Gbps,Up to date
Russian Federation,84 Gbps,docker.ru,"https://mirror.docker.ru/ubuntu/, http://mirror.docker.ru/ubuntu/, rsync://mirror.docker.ru/ubuntu/",mirror.docker.ru,20 Gbps,Up to date
Russian Federation,84 Gbps,team-host,"https://mirror.team-host.ru/ubuntu/, http://mirror.team-host.ru/ubuntu/",mirror.team-host.ru,20 Gbps,Up to date
Russian Federation,84 Gbps,ia64-linux.org,"https://mirror.linux-ia64.org/ubuntu/, http://mirror.linux-ia64.org/ubuntu/",mirror.linux-ia64.org,10 Gbps,Up to date
Russian Federation,84 Gbps,NeftMagistral,"https://mirror.neftm.ru/ubuntu/, http://mirror.neftm.ru/ubuntu/, rsync://mirror.neftm.ru/ubuntu/",mirror.neftm.ru,10 Gbps,Up to date
Russian Federation,84 Gbps,TIMEWEB,"https://mirror.timeweb.ru/ubuntu/, http://mirror.timeweb.ru/ubuntu/",mirror.timeweb.ru,10 Gbps,Last update unknown
Russian Federation,84 Gbps,Truenetwork,"https://mirror.truenetwork.ru/ubuntu/, http://mirror.truenetwork.ru/ubuntu/, ftp://mirror.truenetwork.ru/ubuntu/, rsync://mirror.truenetwork.ru/ubuntu/",mirror.truenetwork.ru,10 Gbps,Up to date
Russian Federation,84 Gbps,Beeline,"http://mirror.corbina.net/ubuntu/, ftp://mirror.corbina.net/ubuntu/, rsync://ftp.corbina.net/ubuntu/","mirror.corbina.net, ftp.corbina.net",1 Gbps,Up to date
Russian Federation,84 Gbps,HyperDedic,"https://mirror.hyperdedic.ru/ubuntu/, http://mirror.hyperdedic.ru/ubuntu/, rsync://mirror.hyperdedic.ru/ubuntu/",mirror.hyperdedic.ru,1 Gbps,Up to date
Russian Federation,84 Gbps,Yandex,"http://mirror.yandex.ru/ubuntu/, ftp://mirror.yandex.ru/ubuntu/, rsync://mirror.yandex.ru/ubuntu/",mirror.yandex.ru,1 Gbps,Up to date
Russian Federation,84 Gbps,POWERNET,"http://mirrors.powernet.com.ru/ubuntu/, ftp://mirrors.powernet.com.ru/pub/ubuntu/archive/, rsync://mirrors.powernet.com.ru/ubuntu/",mirrors.powernet.com.ru,1 Gbps,Up to date
Russian Federation,84 Gbps,Logol Hosting,"http://mirror.logol.ru/ubuntu/, ftp://mirror.logol.ru/ubuntu/",mirror.logol.ru,100 Mbps,Up to date
Saudi Arabia,1 Gbps,Maeen Network,"https://mirror.maeen.sa/apt-mirror/, http://mirror.maeen.sa/apt-mirror/, rsync://mirror.maeen.sa/apt-mirror/",mirror.maeen.sa,1 Gbps,Up to date
Serbia,100 Gbps,Serbian Open eXchange,http://mirror1.sox.rs/ubuntu/ubuntu/,mirror1.sox.rs,50 Gbps,Up to date
Serbia,100 Gbps,Serbian Open eXchange,"https://mirror1.sox.rs/ubuntu/ubuntu/, rsync://mirror1.sox.rs/ubuntu/ubuntu/",mirror1.sox.rs,50 Gbps,Last update unknown
Singapore,206 Gbps,OnboardCloud,"http://ossmirror.mycloud.services/os/linux/ubuntu/, rsync://ossmirror.mycloud.services/linux/ubuntu/",ossmirror.mycloud.services,100 Gbps,Up to date
Singapore,206 Gbps,SG.GS,"http://mirror.sg.gs/ubuntu/, rsync://mirror.sg.gs/ubuntu/",mirror.sg.gs,50 Gbps,Up to date
Singapore,206 Gbps,0ms Group,http://net.0ms.dev/Linux/ubuntu/,net.0ms.dev,10 Gbps,Last update unknown
Singapore,206 Gbps,zhongfu (archive + ports),"http://kambing.uu.sg/ubuntu/, rsync://kambing.uu.sg/ubuntu/",kambing.uu.sg,10 Gbps,Up to date
Singapore,206 Gbps,Andrew Yong,"http://mirror.0x.sg/ubuntu/, ftp://mirror.0x.sg/ubuntu/, rsync://mirror.0x.sg/ubuntu/",mirror.0x.sg,10 Gbps,Up to date
Singapore,206 Gbps,Freedif,"https://mirror.freedif.org/ubuntu/, http://mirror.freedif.org/ubuntu/, rsync://mirror.freedif.org/ubuntu/",mirror.freedif.org,10 Gbps,Up to date
Singapore,206 Gbps,Neo Soon Keat,http://mirror.soonkeat.sg/ubuntu/,mirror.soonkeat.sg,10 Gbps,Up to date
Singapore,206 Gbps,National University of Singapore,"http://download.nus.edu.sg/mirror/ubuntu/, rsync://download.nus.edu.sg/ubuntu/",download.nus.edu.sg,1 Gbps,Up to date
Singapore,206 Gbps,Kenny Lim,"http://mirror.aktkn.sg/ubuntu/, rsync://mirror.aktkn.sg/ubuntu/",mirror.aktkn.sg,1 Gbps,Up to date
Singapore,206 Gbps,Cogan Ng (The Infinitive),"https://mirror.coganng.com/ubuntu/, http://mirror.coganng.com/ubuntu/, ftp://mirror.coganng.com/ubuntu/, rsync://mirror.coganng.com/ubuntu/",mirror.coganng.com,1 Gbps,Up to date
